VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
295	WM17	SET	125	0.12212	0.010218	0.073469	0.048248	zCHD
296	WM18	SET	84	-0.11861	-0.0081455	0.091503	0.90255	zCHD
297	WM19	SET	212	-0.0012293	-0.00013363	0.051959	0.50944	zCHD
298	WM2	SET	418	0.015894	0.0024117	0.038065	0.33814	zCHD
299	WM20	SET	206	0.047459	0.0050863	0.056667	0.20116	zCHD
300	WM21	SET	355	-0.006891	-0.00096536	0.045635	0.56001	zCHD
301	WM22	SET	88	-0.11534	-0.0081063	0.086017	0.91001	zCHD
302	WM23	SET	127	0.085242	0.0071892	0.067216	0.10237	zCHD
303	WM24	SET	141	0.027997	0.0024869	0.073241	0.35114	zCHD
304	WM25	SET	942	0.066278	0.014867	0.027225	0.0074619	zCHD
305	WM26	SET	397	-0.099011	-0.01465	0.04152	0.99145	zCHD
306	WM3	SET	454	0.026238	0.0041448	0.039219	0.25175	zCHD
307	WM4	SET	130	-0.11323	-0.0096608	0.080635	0.91986	zCHD
308	WM5	SET	75	0.042677	0.00277	0.085415	0.30867	zCHD
309	WM6	SET	76	0.066935	0.0043733	0.094539	0.23947	zCHD
310	WM7	SET	78	-0.017955	-0.0011884	0.10162	0.57012	zCHD
311	WM8	SET	87	-0.078218	-0.0054661	0.087661	0.81387	zCHD
312	WM9	SET	87	-0.038896	-0.0027182	0.081239	0.68395	zCHD
313	WM1	SET	218	0.072578	0.008	0.055294	0.094672	zDIAB
314	WM10	SET	364	0.049002	0.0069502	0.04327	0.12873	zDIAB
315	WM11	SET	198	0.045836	0.0048177	0.053796	0.19711	zDIAB
316	WM12	SET	115	0.061669	0.0049516	0.077946	0.21443	zDIAB
317	WM13	SET	105	0.014173	0.0010877	0.074765	0.42482	zDIAB
318	WM14	SET	91	0.11545	0.0082518	0.085429	0.088287	zDIAB
319	WM15	SET	99	0.070684	0.0052682	0.083733	0.1993	zDIAB
320	WM16	SET	215	0.013642	0.0014935	0.054814	0.40173	zDIAB
321	WM17	SET	125	0.05268	0.0044086	0.070111	0.22622	zDIAB
322	WM18	SET	84	0.036503	0.0025071	0.092518	0.34659	zDIAB
323	WM19	SET	212	0.10669	0.011599	0.053876	0.023843	zDIAB
324	WM2	SET	420	-0.020479	-0.003115	0.037471	0.70764	zDIAB
325	WM20	SET	206	-0.023323	-0.0024999	0.057545	0.65737	zDIAB
326	WM21	SET	355	-0.062224	-0.0087181	0.045344	0.915	zDIAB
327	WM22	SET	88	0.079014	0.005554	0.08675	0.1812	zDIAB
328	WM23	SET	127	-0.0078629	-0.00066324	0.066179	0.54729	zDIAB
329	WM24	SET	142	-0.068667	-0.006122	0.071309	0.83221	zDIAB
330	WM25	SET	943	0.042733	0.0095916	0.026711	0.054827	zDIAB
331	WM26	SET	399	0.036889	0.0054724	0.040446	0.18088	zDIAB
332	WM3	SET	454	0.037172	0.0058729	0.038484	0.16705	zDIAB
333	WM4	SET	130	0.018226	0.0015553	0.076783	0.40619	zDIAB
334	WM5	SET	75	-0.026257	-0.0017045	0.089454	0.61544	zDIAB
335	WM6	SET	76	-0.024557	-0.0016047	0.0949	0.60209	zDIAB
336	WM7	SET	78	0.0036373	0.00024077	0.097186	0.48507	zDIAB
337	WM8	SET	87	0.01918	0.0013405	0.085655	0.41141	zDIAB
338	WM9	SET	88	-0.089964	-0.0063237	0.079618	0.87074	zDIAB
339	WM1	SET	218	0.15762	0.017471	0.13919	0.12874	zHGT
340	WM10	SET	362	0.19476	0.027701	0.11263	0.041905	zHGT
341	WM11	SET	198	0.12144	0.012836	0.14081	0.19422	zHGT
342	WM12	SET	115	-0.2071	-0.016722	0.20645	0.8421	zHGT
343	WM13	SET	105	0.18423	0.014218	0.19547	0.17297	zHGT
344	WM14	SET	90	-0.29256	-0.020912	0.2241	0.90412	zHGT
345	WM15	SET	96	-0.054244	-0.0040039	0.22217	0.59644	zHGT
346	WM16	SET	213	-0.15699	-0.017202	0.14275	0.86427	zHGT
347	WM17	SET	124	-0.27542	-0.023086	0.18633	0.93031	zHGT
348	WM18	SET	84	0.025068	0.0017314	0.23761	0.45799	zHGT
349	WM19	SET	207	0.072556	0.007839	0.13453	0.29483	zHGT
