Gene	ModuleColor	kWithin	ModuleName
PRRG3	blue	9.46131054787082	WM2
PSMB6	blue	17.6269692243168	WM2
PSMD3	blue	53.4523263056194	WM2
PSMD8	blue	54.0894561223204	WM2
PTGES2	blue	36.7815188545319	WM2
PTPRA	blue	19.5933513064055	WM2
PUF60	blue	29.5339153576408	WM2
PYGO2	blue	20.933072765576	WM2
R3HCC1	blue	13.5928613612878	WM2
RAB5B	blue	41.5880198575015	WM2
RAB6B	blue	46.3465673092737	WM2
RAB7A	blue	30.909839280251	WM2
RABAC1	blue	5.18568837819553	WM2
RABGGTA	blue	22.0911339613463	WM2
RBSN	blue	22.1125133645014	WM2
RFX5	blue	2.88708305433577	WM2
RIC8A	blue	23.1627805199332	WM2
RING1	blue	38.6995607967569	WM2
RNF166	blue	7.28686330377692	WM2
RNF208	blue	14.6764260637076	WM2
RNF26	blue	23.3392299636176	WM2
RNF31	blue	6.24467945109289	WM2
RNF41	blue	58.7617143483104	WM2
RNF44	blue	35.6650659197765	WM2
ROGDI	blue	24.9607718718913	WM2
RP11-511P7.5	blue	11.3089101947452	WM2
RPL18	blue	39.2290897721361	WM2
RPL24	blue	11.7720488805215	WM2
RPL27A	blue	15.8935061215794	WM2
RPL36	blue	10.1365193877789	WM2
RPL4	blue	16.418242522058	WM2
RPL7A	blue	16.1923844851994	WM2
RPL8	blue	33.9706935460309	WM2
RPN1	blue	46.7986698040687	WM2
RPRM	blue	8.6499130117743	WM2
RPS15	blue	49.8588607333363	WM2
RPS19BP1	blue	16.1415730483432	WM2
RPS2	blue	15.3905060230747	WM2
RPS28	blue	7.71044086431691	WM2
RPS3	blue	41.9374811441924	WM2
RPS9	blue	17.1128191068092	WM2
RRP9	blue	17.5672369018912	WM2
RTN1	blue	53.5151889702965	WM2
RTN3	blue	24.6730352660553	WM2
SCN2B	blue	39.1566394609908	WM2
SCRN2	blue	33.763526896919	WM2
SDC3	blue	40.5376918991826	WM2
SEPT3	blue	35.2232435613078	WM2
SEPT8	blue	44.4124198748419	WM2
SEPW1	blue	33.4922959019829	WM2
SERF2	blue	34.0366278955926	WM2
SERPINF1	blue	30.7116637077355	WM2
SEZ6	blue	20.8119766053421	WM2
SFXN3	blue	25.3218489483217	WM2
SH3BGRL3	blue	26.36109127229	WM2
SH3BP5L	blue	21.8396836450322	WM2
SH3GLB2	blue	36.2001183622014	WM2
SHMT2	blue	36.7204826192591	WM2
SIGMAR1	blue	35.2619448074652	WM2
SLC22A17	blue	52.4539303593821	WM2
SLC25A11	blue	43.5941053454876	WM2
SLC25A22	blue	55.7269387443286	WM2
SLC25A3	blue	18.7584292086178	WM2
SLC25A44	blue	48.3461137384969	WM2
SLC29A1	blue	15.49492756043	WM2
SLC35B2	blue	12.4524361315667	WM2
SLC37A4	blue	6.19130801086765	WM2
SLC39A13	blue	5.88148469470017	WM2
SLITRK1	blue	33.1745574571733	WM2
SMG5	blue	28.3968096981824	WM2
SMPD1	blue	41.4836974226092	WM2
SNAPC2	blue	37.0971575416989	WM2
SNCG	blue	34.0592104620727	WM2
SNN	blue	55.8071874869925	WM2
SNU13	blue	56.7135036896105	WM2
SNX17	blue	22.2814721968769	WM2
SORL1	blue	46.5051340552793	WM2
SOX15	blue	11.1648605691932	WM2
SPATA2	blue	10.5203433339796	WM2
SPSB3	blue	10.5795958009138	WM2
SSR4	blue	24.5301346758025	WM2
SSU72	blue	19.1957591641173	WM2
STARD7	blue	15.7734667377585	WM2
STIP1	blue	10.5320363317968	WM2
STOML2	blue	26.7722049946084	WM2
SULT4A1	blue	27.1805422234518	WM2
SUMO3	blue	34.6351825717079	WM2
SUOX	blue	34.6816055313954	WM2
SV2A	blue	57.6207670125871	WM2
SV2B	blue	32.7201772396239	WM2
SYNGR3	blue	35.0114685697731	WM2
SYT11	blue	45.8065760026366	WM2
SYT13	blue	23.7606036888729	WM2
TBCB	blue	54.4117541949335	WM2
TBCC	blue	33.9504763799729	WM2
TBRG4	blue	13.7217952467267	WM2
TCEB2	blue	40.4593189400627	WM2
TCTA	blue	10.5966553056828	WM2
TEX2	blue	44.5000937381147	WM2
TIMM50	blue	37.4381726863122	WM2
TIMP2	blue	18.5429532759305	WM2
TINF2	blue	25.7952542740517	WM2
TM7SF2	blue	19.4600227929904	WM2
TMBIM6	blue	50.6741512441456	WM2
TMED9	blue	16.2556302847742	WM2
